Campaign_ID,Campaign_Name,Channel,Region,Age_Group,Gender,Device,Content_Type,Date,Impressions,Clicks,Conversions,Spend_USD,Revenue_USD,CPC_USD
CMP-1249,summer sale 2024,email marketing,LATAM,,male,desktop,Video,"January 09, 2024",63765.0,5066.0,359.0,13714.44,37827.98,2.39
CMP-0234,product launch promax,influencer,North America,25_34,female,mobile,image,20/03/2024,58802.0,1301.0,81.0,217.12,15816.88,0.14
CMP-0120,black friday,email marketing,MEA,18_24,Male,Mobile,Carousel,23/08/2024,37633.0,3912.0,108.0,14915.41,7773.44,3.24
CMP-1067,Holiday Season,Instagram,north america,18-24,male,Desktop,video,2023-02-18,23680.0,634.0,30.0,2387.73,3954.86,3.19
CMP-0365,Spring Collection,EMAIL,Asia Pacific,18_24,,Mobile,video,04-24-2023,41364.0,3080.0,120.0,4280.91,12618.95,1.45
CMP-1360,Black Friday,Google Ads,latin america,35_44,Female,Mobile,image,11-23-2024,33846.0,3886.0,205.0,3143.27,46984.12,0.95
CMP-0950,brand awareness q1,TikTok,North America,55+,Other,Tablet,image,01-06-2023,108837.0,5786.0,404.0,52268.67,108162.5,7.9
CMP-0945,New Year Push,Influencer,LATAM,25_34,F,Mobile,image,2023-07-01,123951.0,1573.0,64.0,7921.7,15265.26,4.93
CMP-0324,Spring Collection,TikTok,Asia Pacific,25_34,Other,tablet,carousel,2024-05-16,81190.0,4222.0,159.0,31575.55,51089.62,7.84
CMP-1111,retargeting q2,tiktok,europe,25_34,Female,Tablet,image,20 Aug 2023,104352.0,777.0,36.0,1990.2,8277.46,2.54
CMP-0253,Brand Awareness Q1,Facebook,latin america,Unknown,,,Story,10-28-2023,131021.0,5832.0,429.0,32303.69,53112.15,4.69
CMP-0170,spring collection,TikTok,APAC,18-24,M,mobile,video,06/04/2023,105077.0,1444.0,109.0,5573.55,34910.09,4.1
CMP-1440,Retargeting Q2,Influencer,LATAM,25_34,,Mobile,image,2023-03-03,108951.0,7211.0,351.0,33729.32,44503.85,4.67
CMP-0695,summer sale 2024,EMAIL,middle east,35_44,Female,,Story,2023-05-13,122055.0,5577.0,374.0,33972.72,128748.44,5.76
CMP-0585,spring collection,Instagram,europe,18_24,male,MOBILE,carousel,15/08/2024,75909.0,8145.0,401.0,0.0,99499.72,2.24
CMP-0873,Summer Sale 2024,tiktok,NA,45-54,F,Desktop,image,31/05/2024,0.0,0.0,0.0,0.0,0.0,2.04
CMP-1056,Product Launch - ProMax,TikTok,latin america,Unknown,Other,,carousel,24/11/2024,66032.0,3583.0,127.0,12224.4,21586.19,3.19
CMP-1380,Summer Sale 2024,Google Ads,LATAM,18-24,Female,Desktop,,01-21-2024,90350.0,8980.0,573.0,21314.54,158594.21,2.57
CMP-0987,New Year Push,facebook,asia pacific,45-54,Female,Tablet,Story,15/10/2023,60570.0,4176.0,224.0,10533.18,31778.46,2.69
CMP-1324,Spring Collection,EMAIL,Middle East,25-34,Female,Tablet,video,17 Feb 2024,28195.0,1735.0,98.0,12022.93,15786.11,7.6
CMP-1271,black friday,GOOGLE ADS,europe,35-44,Other,MOBILE,video,2024-05-07,73400.0,2957.0,51.0,7079.1,14827.85,2.26
CMP-1471,Product Launch - ProMax,Email,EU,45-54,male,MOBILE,Image,04-22-2024,144718.0,15526.0,212.0,103733.69,60659.62,8.22
CMP-0472,holiday season,Instagram,Middle East,35-44,male,Tablet,image,12 Jun 2024,124697.0,11805.0,187.0,92681.22,25581.24,7.94
CMP-0344,summer sale 2024,Email,MEA,,F,mobile,carousel,2024-12-24,120506.0,11667.0,770.0,27418.34,233397.85,2.42
CMP-0065,product launch promax,GOOGLE ADS,Europe,,N/A,desktop,Carousel,10-02-2024,79883.0,6287.0,190.0,27191.47,6382.88,4.98
CMP-0821,new year push,Instagram,MEA,18-24,F,Mobile,Video,"October 26, 2023",52479.0,3031.0,115.0,7656.37,31996.62,2.45
CMP-0881,spring collection,TikTok,NA,25_34,,MOBILE,Carousel,16 Jan 2024,149705.0,8146.0,445.0,52525.06,133274.54,7.18
CMP-0264,new year push,FB,Middle East,,male,Mobile,carousel,07-24-2023,80597.0,1865.0,105.0,17421.06,13167.18,8.25
CMP-1458,Spring Collection,tiktok,APAC,25-34,,tablet,Carousel,25 Sep 2023,145590.0,8889.0,8909.0,14288.35,2421003.61,1.42
CMP-0520,Black Friday,Google Ads,Middle East,25-34,female,Desktop,Carousel,2024-01-18,17528.0,1657.0,85.0,240.21,19262.84,0.18
CMP-1399,brand awareness q1,facebook,MEA,35-44,Male,MOBILE,Image,09-28-2023,144153.0,14819.0,577.0,101020.77,42753.28,6.51
CMP-1467,Summer Sale 2024,instagram,europe,18-24,male,tablet,carousel,02 Mar 2023,12752.0,209.0,1.0,1485.7,71.4,7.21
CMP-0883,BLACK FRIDAY,EMAIL,NA,25_34,Other,desktop,Story,05-11-2023,35047.0,1212.0,86.0,1254.83,3837.99,1.2
CMP-1492,new year push,Facebook,NA,18_24,Female,Tablet,Story,09-20-2023,54415.0,1723.0,41.0,5448.41,11925.16,3.23
CMP-0789,retargeting q2,Facebook,MEA,Unknown,Female,Tablet,carousel,"July 07, 2024",106564.0,9509.0,695.0,64594.27,,7.53
CMP-0936,Summer Sale 2024,instagram,Asia Pacific,45-54,F,,Video,"November 20, 2024",,1098.0,26.0,2290.38,2575.35,1.96
CMP-0029,Black Friday,instagram,MEA,55+,male,Desktop,Video,19/06/2023,81138.0,9001.0,409.0,33514.43,,4.04
CMP-0569,New Year Push,tiktok,middle east,45-54,M,mobile,Carousel,2023-12-11,42231.0,4354.0,314.0,3766.33,88511.73,0.79
CMP-0523,Brand Awareness Q1,FB,North America,25-34,,tablet,Video,26 Sep 2024,113246.0,113637.0,6517.0,608055.98,2193411.79,5.77
CMP-1021,BLACK FRIDAY,facebook,Europe,18_24,,MOBILE,Image,"May 03, 2024",13034.0,251.0,13.0,579.86,1925.05,2.45
CMP-1177,BLACK FRIDAY,influencer,North America,Unknown,N/A,Tablet,video,2023-02-28,49927.0,5177.0,5183.0,45977.18,1100389.0,7.97
CMP-0131,summer sale 2024,tiktok,NA,N/A,female,mobile,Story,24 Nov 2024,54693.0,399.0,408.0,2100.06,90067.42,6.55
CMP-0661,holiday season,email marketing,EU,25-34,,MOBILE,Carousel,2023-10-27,,1057.0,53.0,5260.93,8984.02,5.22
CMP-0414,brand awareness q1,influencer,North America,35_44,Male,desktop,video,2024-08-25,101209.0,1201.0,26.0,3229.62,6182.16,3.33
CMP-0511,summer sale 2024,instagram,Latin America,Unknown,Female,Mobile,,08/08/2024,101701.0,5767.0,225.0,35196.31,15870.49,5.84
CMP-1059,Black Friday,GOOGLE ADS,MEA,Unknown,N/A,MOBILE,carousel,20/08/2024,27680.0,547.0,38.0,3106.26,1795.91,6.84
CMP-1396,product launch promax,instagram,asia pacific,N/A,male,mobile,Video,14/12/2023,122537.0,4277.0,151.0,29388.17,50365.57,8.48
CMP-0359,Summer Sale 2024,Google Ads,Middle East,25-34,N/A,tablet,Image,27/07/2023,36998.0,2075.0,108.0,5168.03,31560.32,2.89
CMP-0179,Summer Sale 2024,instagram,APAC,18_24,female,MOBILE,carousel,2024-02-09,66008.0,3288.0,240.0,7359.03,59023.51,2.31
CMP-0238,Brand Awareness Q1,influencer,north america,25_34,male,desktop,Image,22/04/2023,43692.0,2712.0,123.0,12739.81,16532.56,4.47
CMP-1221,new year push,facebook,europe,Unknown,Male,MOBILE,carousel,2023-04-19,18402.0,2169.0,159.0,16002.55,34237.47,6.73
CMP-0370,Spring Collection,GOOGLE ADS,north america,35_44,F,Tablet,video,15 Jun 2023,18368.0,280.0,19.0,1664.01,1260.6,6.58
CMP-1319,Black Friday,influencer,latin america,25-34,,MOBILE,Image,2024-12-28,137531.0,12684.0,530.0,65575.75,87198.22,4.76
CMP-1295,brand awareness q1,TikTok,asia pacific,45-54,male,Tablet,Carousel,15 Aug 2024,58441.0,3724.0,220.0,32994.94,31517.67,7.93
CMP-0818,Spring Collection,google ads,APAC,N/A,,,image,19/12/2023,67265.0,4874.0,198.0,11549.58,52937.5,2.13
CMP-1073,new year push,influencer,Latin America,18_24,,Mobile,Story,"August 06, 2024",148611.0,7173.0,73.0,41720.11,2789.14,5.05
CMP-0371,new year push,facebook,EU,Unknown,F,tablet,Image,29 Nov 2024,108816.0,11500.0,11504.0,64579.09,1333520.65,5.31
CMP-0573,BLACK FRIDAY,tiktok,EU,25-34,Male,Mobile,video,03/02/2024,49406.0,5738.0,333.0,41324.27,111941.78,7.35
CMP-0656,Retargeting Q2,tiktok,north america,25_34,Other,Desktop,Carousel,10 Aug 2023,127628.0,7681.0,462.0,13760.8,111347.26,2.06
CMP-1071,Retargeting Q2,TikTok,Middle East,35_44,Other,Desktop,Image,04-21-2023,13928.0,826.0,32.0,2935.58,8985.03,3.88
CMP-0652,retargeting q2,Facebook,LATAM,18-24,,Desktop,Story,2024-06-04,11628.0,130.0,10.0,446.15,1823.71,2.89
CMP-0137,Retargeting Q2,google ads,europe,35_44,N/A,tablet,carousel,2024-12-04,35572.0,1647.0,98.0,15495.46,25700.04,8.06
CMP-1326,product launch promax,SEO,Latin America,,Male,mobile,Video,25/09/2023,60158.0,,123.0,26264.5,13972.53,7.48
CMP-1026,Spring Collection,EMAIL,asia pacific,25_34,Female,MOBILE,,"November 15, 2024",515.0,37.0,49.0,229.33,12493.28,5.57
CMP-1207,new year push,influencer,MEA,,N/A,mobile,Story,"March 24, 2023",0.0,,0.0,156.33,0.0,7.02
CMP-0953,Spring Collection,tiktok,Asia Pacific,35_44,Male,MOBILE,Story,"February 21, 2024",58095.0,5527.0,356.0,16306.83,103654.03,3.68
CMP-1206,brand awareness q1,facebook,EU,35_44,N/A,mobile,,"September 27, 2024",41746.0,1198.0,44.0,7394.77,9835.07,7.02
CMP-1431,Brand Awareness Q1,instagram,Asia Pacific,55+,Male,tablet,video,11 Mar 2024,144614.0,16803.0,240.0,8226.54,30976.86,0.52
CMP-0316,new year push,instagram,NA,35_44,M,Tablet,Carousel,"January 19, 2023",26849.0,2423.0,44.0,11188.78,13841.83,5.74
CMP-1022,Spring Collection,SEO,europe,35_44,F,desktop,video,10-27-2024,63264.0,5502.0,389.0,14798.38,131310.85,3.07
CMP-0198,Product Launch - ProMax,instagram,Europe,,Male,tablet,Image,05/12/2024,125438.0,7389.0,162.0,11643.02,55032.85,1.65
CMP-0193,Product Launch - ProMax,google ads,Latin America,35-44,M,Mobile,image,12-11-2024,29670.0,1280.0,66.0,2451.09,16458.65,1.88
CMP-0043,spring collection,influencer,Europe,N/A,Male,desktop,,"October 20, 2024",8665.0,443.0,22.0,2175.83,2436.62,4.22
CMP-0900,retargeting q2,email marketing,latin america,18-24,F,,Video,02 Jan 2024,33786.0,2569.0,21.0,16317.89,3948.07,6.31
CMP-0343,Spring Collection,EMAIL,north america,Unknown,F,desktop,video,14/09/2024,26469.0,3013.0,,9911.43,26427.3,3.0
CMP-0920,New Year Push,Google Ads,Middle East,25-34,Other,Tablet,video,2024-08-02,123809.0,9281.0,202.0,46266.2,9592.94,4.69
CMP-1166,spring collection,email marketing,Asia Pacific,25_34,female,tablet,carousel,"November 30, 2023",78213.0,1877.0,138.0,9508.46,27365.01,5.82
CMP-1222,New Year Push,Facebook,North America,,Female,Desktop,Image,14/11/2024,35040.0,3317.0,97.0,18206.04,25804.73,5.26
CMP-0111,black friday,facebook,MEA,18-24,N/A,MOBILE,Story,11-26-2023,65580.0,2373.0,155.0,7671.05,51901.16,3.23
CMP-0555,Product Launch - ProMax,email marketing,NA,25_34,female,Mobile,Carousel,2023-04-04,71207.0,2372.0,2382.0,5273.87,389728.03,2.13
CMP-0976,product launch promax,FB,europe,N/A,male,,,2023-12-24,121887.0,9616.0,9633.0,39198.62,1436957.1,5.05
CMP-0787,summer sale 2024,Influencer,NA,45-54,M,desktop,Carousel,08 Jul 2023,95014.0,643.0,38.0,1264.56,9919.53,1.9
CMP-0346,spring collection,instagram,latin america,N/A,Male,,Carousel,21 Nov 2024,137736.0,6502.0,505.0,16375.37,123265.88,3.07
CMP-1042,brand awareness q1,Google Ads,APAC,45-54,male,mobile,image,08-03-2023,11440.0,508.0,26.0,1554.38,5760.77,2.6
CMP-1490,Black Friday,facebook,North America,18-24,N/A,Desktop,Video,31 Jan 2023,26037.0,2576.0,75.0,12611.09,7770.61,5.11
CMP-0605,holiday season,Facebook,LATAM,45-54,male,Desktop,Image,2023-04-07,119708.0,11437.0,227.0,52202.27,34878.14,5.19
CMP-0076,New Year Push,tiktok,APAC,18_24,Female,MOBILE,Image,"July 09, 2023",37360.0,216.0,10.0,754.09,1386.52,3.85
CMP-0301,new year push,Google Ads,Asia Pacific,35_44,Other,Desktop,image,2024-10-28,7308.0,198.0,9.0,835.12,941.17,5.1
CMP-1382,brand awareness q1,FB,Asia Pacific,,Male,Mobile,image,09-06-2024,56780.0,3851.0,123.0,22736.16,4202.57,6.28
CMP-0654,Holiday Season,GOOGLE ADS,Latin America,25-34,N/A,mobile,Carousel,12-17-2024,0.0,26.0,1.0,65.68,,2.71
CMP-0842,Retargeting Q2,seo,EU,18-24,,MOBILE,Video,25 Oct 2023,62415.0,3387.0,167.0,1503.03,4830.71,0.41
CMP-1216,new year push,Email,europe,35_44,Other,Desktop,Image,2024-03-12,21750.0,954.0,74.0,2063.14,11462.29,2.1
CMP-0536,product launch promax,Google Ads,MEA,18-24,M,,carousel,04/08/2024,42308.0,3353.0,91.0,20144.77,5425.9,6.33
CMP-0015,Brand Awareness Q1,Email,Middle East,55+,F,MOBILE,image,"January 29, 2023",30736.0,2205.0,83.0,961.87,4827.54,0.42
CMP-1390,black friday,seo,asia pacific,35_44,male,tablet,Story,02/06/2023,16050.0,1165.0,37.0,5375.45,2872.5,4.57
CMP-0775,retargeting q2,GOOGLE ADS,MEA,Unknown,,mobile,carousel,16 Feb 2024,37163.0,3135.0,161.0,16554.45,36512.92,5.14
CMP-1125,Holiday Season,email marketing,latin america,N/A,,,Story,11 Apr 2024,51766.0,3169.0,76.0,17060.74,18629.32,6.51
CMP-1194,Summer Sale 2024,influencer,asia pacific,Unknown,Female,Tablet,video,13/10/2024,89062.0,8000.0,221.0,67043.66,55387.19,7.29
CMP-1169,Product Launch - ProMax,instagram,europe,,F,tablet,,06/09/2023,90185.0,10345.0,80.0,80595.99,7222.29,6.86
CMP-0483,brand awareness q1,GOOGLE ADS,asia pacific,35_44,Other,,Carousel,09/09/2024,689.0,74.0,3.0,392.82,903.45,5.61
CMP-1285,holiday season,Facebook,Middle East,55+,female,,,"February 03, 2023",38962.0,3906.0,275.0,12535.16,87040.93,3.8
CMP-0537,Spring Collection,Google Ads,NA,18-24,Female,Desktop,Story,04-11-2024,146630.0,10230.0,,53578.44,13720.84,5.91
CMP-0180,brand awareness q1,EMAIL,latin america,35_44,,desktop,,2023-07-12,0.0,11.0,18.0,,2390.96,2.47
CMP-1097,spring collection,instagram,north america,25_34,N/A,,image,01/04/2023,138765.0,7403.0,588.0,65673.13,,8.44
CMP-1225,New Year Push,tiktok,Latin America,Unknown,female,tablet,Video,05-13-2024,68104.0,952.0,66.0,4068.93,21089.73,5.3
CMP-1337,product launch promax,Influencer,LATAM,18-24,M,Mobile,video,02-03-2024,88673.0,2109.0,158.0,10826.25,45114.82,4.34
CMP-0753,brand awareness q1,influencer,Europe,25_34,N/A,desktop,Image,01 Jan 2023,19999.0,1919.0,82.0,4004.99,11092.81,2.0
CMP-1006,summer sale 2024,tiktok,north america,Unknown,Other,mobile,video,"January 02, 2024",68187.0,6398.0,148.0,12199.04,42079.85,2.06
CMP-0875,New Year Push,tiktok,LATAM,55+,Other,mobile,carousel,05 Dec 2023,102301.0,2803.0,2818.0,13198.75,102090.76,5.2
CMP-1035,Spring Collection,GOOGLE ADS,EU,,Other,Tablet,carousel,09-25-2024,149523.0,1271.0,6.0,3113.23,576.18,2.38
CMP-1379,Summer Sale 2024,EMAIL,Latin America,Unknown,male,Desktop,Carousel,"May 11, 2024",12427.0,912.0,5.0,1726.36,504.06,1.67
CMP-1017,black friday,Email,Europe,55+,female,tablet,carousel,08-12-2024,136060.0,16205.0,1122.0,84705.61,373591.5,6.48
CMP-0567,Product Launch - ProMax,Email,Europe,18-24,Other,,video,"December 03, 2023",133888.0,15932.0,742.0,90522.35,68452.72,5.07
CMP-0724,black friday,GOOGLE ADS,MEA,,Female,tablet,Image,14 Mar 2024,70667.0,7816.0,461.0,23330.93,41398.53,3.7
CMP-0647,Black Friday,email marketing,NA,N/A,M,MOBILE,Carousel,2023-01-18,51265.0,5961.0,389.0,35222.42,93396.44,7.15
CMP-0054,brand awareness q1,EMAIL,APAC,Unknown,N/A,Mobile,image,24/09/2024,34853.0,899.0,29.0,5584.3,9858.96,5.35
CMP-0983,Product Launch - ProMax,instagram,Middle East,35_44,F,mobile,Image,2023-04-13,29775.0,2121.0,52.0,15074.52,15462.86,7.4
CMP-1178,black friday,GOOGLE ADS,Middle East,25-34,N/A,Mobile,image,"November 06, 2024",43692.0,3147.0,36.0,1215.09,8506.24,0.33
CMP-1149,summer sale 2024,facebook,Asia Pacific,45-54,male,Tablet,Video,23 Mar 2023,44385.0,492.0,29.0,1709.11,,3.59
